Code Size (B),Execution Time (µs),Memory Usage (KB)
7067,15609,30528
1546,1647,25632
262,352,24480
8723,13482,30240
3618,5328,27648
1500,1478,25632
7955,9290,29376
1394,2166,26208
572,1509,26208
2406,1345,25920
7008,11177,28800
1294,1855,25056
6238,15358,30528
1686,1958,25920
2594,4610,26784
1776,3022,26208
457,645,25344
882,476,24480
241,362,24480
991,1586,25632
1354,1403,25344
872,1283,25920
1825,2371,25920
349,336,24768
574,465,24480
5134,7519,28512
1011,565,24480
1275,5261,25632
2000,1107,25632
146,291,24192
87,244,23904
1019,1589,25056
18357,28946,32256
408,546,25344
4803,9099,28800
7560,11539,29376
267,329,24768
1463,572,24480
2229,2744,26496
979,508,24192
1073,1840,25920
517,2232,25632
824,480,24480
9741,10142,29088
318,762,25344
87,266,24768
10354,15077,30816
4531,6117,27936
404,354,24768
2628,2257,25920
333,391,24480
1269,2035,25632
3755,10026,28800
653,919,25632
5175,11034,29088
1293,1218,26208
611,738,25632
2813,3197,26784
185,277,24192
996,492,24480
944,671,25056
87,299,23904
1116,550,24480
1166,1789,25632
1205,502,24480
1808,2545,25920
3231,7682,27360
1480,2128,26496
578,1808,25920
902,786,25920
316,628,23904
455,340,23616
767,631,24192
182,295,24192
4028,5562,27936
537,430,24768
597,1483,25920
3535,6272,26496
5363,14908,30240
8609,22516,31680
439,1035,25920
1315,869,25056
443,371,24192
7899,18299,29952
555,931,25920
293,330,24192
2458,7174,28512
2530,2540,26208
4316,6301,28224
3382,1708,25920
918,1101,25920
270,366,24480
679,415,24480
3178,2351,26496
633,557,24192
285,1431,24480
2038,1762,25920
583,490,24480
445,713,25920
610,1193,25632
613,469,24192
622,443,24480
1132,1152,25632
2557,3453,25920
179,290,24192
536,1442,25632
4142,1983,26208
9573,19910,31680
24600,34916,34560
2201,1016,25344
1459,1966,26208
608,691,25920
972,1943,25920
1295,1923,25920
1676,1253,26208
917,633,25056
6212,8192,28512
1465,1665,24768
3089,6295,27936
940,1614,25632
2619,3942,27072
466,1148,25632
12665,14704,30240
596,463,24768
1544,1191,25632
599,881,25920
3575,1687,25632
7877,11700,27360
682,711,24192
5783,7733,27936
7470,14569,30240
595,2348,25632
2549,2190,25920
1992,1616,25632
10228,14259,29952
2061,2355,26208
501,2389,25632
323,1037,25056
147,338,24768
828,1564,25632
1462,3169,27072
6001,7060,27360
510,819,23904
10319,20119,31104
951,558,24480
781,546,24480
1513,1936,26208
447,387,24480
3940,6262,27648
352,351,23904
1194,2088,25632
1024,959,25344
1016,570,24768
14845,24399,33120
681,769,24192
2582,2082,25632
364,467,24480
673,463,24480
664,2106,25632
10643,23605,32256
856,786,25632
183,304,24480
780,441,24192
878,678,24480
8590,13247,30240
4731,7176,27936
145,281,24768
5662,12438,28800
9196,15887,30816
13271,24468,31968
1005,2678,25920
526,434,24768
7598,8244,27936
1851,1147,24768
1070,1894,26208
1171,1231,25632
1201,2074,25632
995,702,24480
5296,7471,27936
823,578,24192
600,2190,24768
591,520,24480
4249,8218,28224
2820,4095,26784
1739,1150,25344
479,423,23904
203,444,23904
1787,1374,25632
541,375,24480
711,457,24480
2942,6891,26496
3620,6478,27072
326,927,25920
221,389,24192
4174,2969,26784
1048,996,25632
3898,14178,27936
543,366,24480
9255,14816,30528
177,407,24192
1417,1838,26208
1866,2264,25920
1184,802,25056
2467,2262,26208
1068,3687,26496
228,318,24192
6495,7854,28512
242,358,23904
770,1544,25920
2896,2009,26496
903,580,24480
1068,809,25344
3340,2079,25632
87,240,24192
87,235,24480
313,455,24192
1699,1375,24480
10050,23651,31680
1088,1930,26496
161,325,23904
788,499,24480
5434,16373,29088
443,387,24480
4542,9099,28224
497,575,24480
291,2326,25632
1034,1284,25632
211,431,24768
1192,3966,27360
3251,5216,27072
1038,4339,25344
12100,18426,30816
4779,5472,27360
11712,18415,30240
87,238,24192
458,414,23904
3120,5873,26208
1730,2191,25920
275,321,24192
6631,15617,30528
454,445,24768
8428,17162,29952
462,662,25632
9493,18770,31680
871,2095,25056
899,907,25920
2263,1764,25920
901,2004,25344
2121,2949,26784
881,1343,25632
5113,6596,27936
3022,4373,27072
368,1148,25344
415,1001,25344
881,526,24768
8489,17119,30528
5422,7067,27936
1355,552,23616
395,374,24480
3011,4474,26784
556,940,25344
14044,30140,32832
400,359,24768
827,496,24192
1766,1929,25920
503,345,23904
1547,2084,26208
409,962,25344
724,499,24192
2050,2094,26208
741,935,26208
8015,16701,29952
1471,1553,25920
596,1709,25920
458,1107,25344
13032,22061,32544
560,435,23616
1698,3971,27072
2505,1984,26496
1333,997,25056
10194,19784,31680
1184,1610,26208
1303,721,24768
5623,7888,28224
317,398,24480
196,435,24192
3767,7053,26784
532,353,24480
1804,2019,25920
1383,981,25344
3881,7541,28224
211,313,23904
1584,3328,26208
2044,1813,25344
206,617,23904
1481,984,25344
554,822,25920
5383,5661,28224
635,460,24480
3642,5932,27360
1509,662,24192
532,563,24192
5170,4617,27072
476,1439,25632
672,491,24480
3962,4439,27072
13644,28015,33696
12996,25692,32256
415,366,24480
87,298,23616
2826,2633,26496
743,1014,24192
1618,1524,25632
1027,1677,25632
474,1033,25056
1876,2734,26784
3940,7692,27936
723,385,24480
430,346,24480
997,711,24480
798,1065,25632
87,245,23904
3441,6304,27648
4533,5077,27360
2739,3729,27072
609,455,24480
2186,1869,25056
3177,5854,26784
1169,1849,25632
10466,20521,31968
300,374,24480
406,367,24768
1334,4697,25920
1239,1985,25632
3329,3434,26784
1837,1922,25920
6859,13940,29088
524,2728,25920
1939,3327,27360
11945,18244,31968
249,337,24192
4635,7034,27648
1367,1987,25632
299,339,24480
3108,4896,27648
2683,4072,26784
365,1239,25632
5107,6534,27936
9999,12243,29664
2910,2589,26496
1303,644,24480
321,406,24192
2499,4373,26784
10772,17972,29664
5499,13444,29664
2243,2981,26496
2297,3925,26496
1992,975,24480
1856,3312,26496
790,1651,25632
855,1368,26208
477,458,24480
596,859,25632
3026,3674,27360
4899,4347,26784
506,600,23904
1418,2213,26208
225,331,24480
6208,12385,29664
167,356,24480
1849,2054,26208
596,741,24192
1498,3571,27360
821,1545,25344
1291,1938,25920
403,401,24480
5022,7526,28224
534,740,25056
1300,5512,25920
2196,2332,26784
1858,1359,26208
1216,2932,25920
8044,14460,29376
2816,8407,28224
19783,31920,35424
6115,10917,27648
171,339,24192
4721,12190,29952
87,256,23616
1783,2098,25632
5276,10739,29088
5135,4688,26496
465,326,24768
506,426,24480
200,384,24480
392,407,24480
450,1509,26208
4093,6986,27936
676,474,24480
428,417,24768
5957,9834,29088
397,339,24480
1624,1521,25920
569,366,24480
239,319,24768
2420,1981,26496
1023,1370,25632
424,357,24768
3895,4037,26496
494,601,24768
9229,17028,31104
1247,2630,26496
561,1175,25632
159,275,24192
536,637,25056
579,1495,25632
202,357,23904
599,378,24480
327,369,24480
20385,22622,31680
1528,1749,25632
659,1749,25920
726,549,24480
435,2600,25056
248,338,24480
4955,7592,27648
8547,10933,29376
4359,3904,27072
938,1746,25632
1084,509,24480
1307,1786,25632
1004,624,24480
406,341,24480
3825,2683,26496
1342,1900,25920
352,346,24192
2717,2013,26496
6952,20204,29376
10223,26552,33120
3745,6295,27936
1950,676,25056
87,231,24480
11362,15704,29952
534,512,24480
2059,2133,25920
1312,1891,25632
1908,1783,25632
5327,10412,28800
620,490,24768
1429,2373,25632
1028,1885,25344
7146,21678,29952
1407,1991,25920
1220,1345,24480
5071,9220,28800
2910,3152,26496
6561,3840,26784
411,309,24480
164,923,23904
4026,4474,27648
5699,5797,27936
7329,8072,28224
3263,4465,26784
3076,6514,28224
3152,7066,27936
195,287,24480
881,434,24480
3167,2501,26208
705,471,24480
303,401,24480
659,490,24480
1014,2002,26208
781,693,24768
1788,5628,26496
1936,1464,25344
167,339,24480
15525,15889,29376
539,500,24480
2032,6065,26208
17298,18237,31392
2523,2674,26208
732,524,24480
361,690,24480
2705,3534,27360
274,318,24768
882,1184,25920
604,1078,25920
1437,1750,25920
1869,2629,26208
1422,1750,25920
8722,12273,30240
1738,792,24768
3926,5759,27936
619,981,25344
607,430,24480
3814,12009,29088
6930,5512,27648
1248,1241,25056
698,1031,25632
1419,2592,25920
87,243,23904
2232,2189,25920
343,955,25344
4153,7140,28224
1026,1016,24768
615,498,24192
3458,10257,28800
4317,7617,28224
87,237,24192
1736,1168,24768
217,294,24480
905,979,25344
410,718,25344
2865,4646,27072
293,409,24192
5044,10106,28800
6363,14731,28800
1467,856,25344
2912,6661,27936
247,922,25344
259,335,24192
1028,2097,25632
8325,14787,29664
14893,21574,31680
1429,3118,26784
3856,10698,28512
668,1741,25920
543,418,24480
503,773,25632
4154,12941,27936
490,486,24480
9457,15316,30816
2268,3568,26496
1125,2686,25920
4488,8598,28800
171,277,24192
5031,5855,27360
1572,1982,25632
484,1086,25920
241,947,25632
1125,568,24480
812,716,24768
388,429,24192
397,343,24768
364,435,24480
1242,1883,25920
260,837,25632
2211,3442,26208
309,505,24768
385,1120,25920
523,578,25056
12246,18158,31104
1953,2574,26496
2118,2750,26496
956,796,24192
239,313,24192
414,850,24768
5944,7267,27936
141,333,24480
10308,22374,31104
1943,984,25344
197,290,24192
5091,10094,28224
747,411,24192
4622,10464,27936
4502,4597,26496
2208,4592,27936
8859,12209,29376
676,841,25632
526,2086,25920
1172,1594,25920
5942,6355,27936
3102,2032,25344
1335,1136,25632
445,424,24480
6051,8450,28512
87,779,23904
640,942,25632
10621,18691,31680
432,726,25344
1345,2242,25632
374,873,25920
1090,1734,26208
7104,12497,30240
1622,758,24480
2397,1711,25344
5636,9587,28224
7056,7911,27360
542,987,25344
166,462,24192
3608,8393,28800
1373,1926,25920
263,407,24192
416,420,24768
981,1112,24768
2736,5555,26784
5591,8002,28512
1046,1786,25344
11331,19833,31104
3000,1402,25920
255,345,24768
480,1015,25920
308,368,24480
1340,1214,25344
11015,23494,31104
2237,5963,27648
446,507,24192
7503,11082,28800
1164,780,24192
163,294,24480
191,289,24192
9156,15994,30528
2925,12797,26496
339,342,24480
1046,1436,25920
1238,1565,25920
378,2453,25344
5328,7600,28512
7721,15617,29376
949,1326,25632
654,456,24192
572,423,24192
816,792,25344
4129,11404,27648
3045,5851,27360
807,948,25920
1234,2483,26208
87,248,23904
424,353,24480
1233,3288,25920
5320,6605,27360
1158,1447,25632
22004,41859,37152
14124,19130,31392
5018,8769,28800
218,1354,25344
6487,10878,28512
1596,3349,26208
627,436,24480
641,1770,25920
7159,8852,28800
559,713,24480
2060,3507,26496
2693,2299,26208
213,459,24192
430,466,24768
9713,12492,30240
3842,4531,25920
2407,3363,26208
5304,9538,28800
1344,787,24480
666,1516,25632
960,2836,25632
5531,6542,27936
877,981,24768
490,1323,25344
32075,51677,39168
3218,2850,27360
1635,2642,26496
386,553,24768
272,730,23904
163,383,24192
2647,2601,26784
87,241,23904
509,1232,25344
143,277,24768
8271,18495,29952
230,332,24480
5177,8531,28224
2781,4084,26208
677,507,24480
3685,6982,27936
799,1649,25632
919,1008,25920
1443,2179,26208
1276,1075,25920
1601,7377,26784
638,623,24480
286,449,24768
2174,4593,27648
371,356,24192
940,569,24768
1369,2792,26208
144,268,24192
6289,13454,30528
554,511,24192
2209,1408,26208
16771,32962,33696
8248,14460,29664
1340,674,25056
1860,3082,25920
4953,8186,28224
1005,1981,25920
1611,2547,26208
1504,2005,26208
1041,700,25344
1006,2359,25632
1529,2758,26208
2247,1393,25632
20383,32598,34560
570,846,25920
87,276,24192
8757,13318,29088
251,342,24192
4664,6307,28512
142,332,24192
329,772,25056
323,1086,23904
5744,12071,29376
642,815,25344
87,327,24192
1069,1217,25920
2716,4464,26208
354,1100,25344
213,932,25344
553,402,24192
713,1180,25632
1871,2438,26496
1967,3404,26784
1639,1568,25344
87,268,24480
943,628,24768
1818,3166,26208
355,311,24480
5895,10586,28800
617,1110,25344
144,275,24192
367,342,24192
7198,7717,28512
2403,1148,25344
3943,7724,26784
576,1497,25632
1934,1682,25920
10150,17295,31104
986,1453,25632
2452,2805,26208
2758,2404,26208
1227,1865,25632
1058,3107,26784
1125,482,24480
6783,6305,27648
138,294,24192
1548,2531,25632
7224,16242,29376
924,611,24768
267,336,24192
3262,2263,25920
1088,1671,25632
704,1050,25344
7067,13133,29952
854,1390,25632
506,432,23904
5164,13882,29664
138,369,24768
969,1286,25632
8096,13226,29664
1311,2267,26784
1138,1444,25632
8221,12559,29952
2066,1271,26208
1107,3552,25920
2046,2666,25920
742,991,24192
641,1480,25920
2698,3488,27072
87,250,24480
1496,2077,26208
6212,7358,28512
2810,1148,24768
1208,1780,25920
911,561,24480
3235,2214,26208
387,1140,25920
2938,2569,26208
3094,6478,26784
606,1134,25632
20337,36621,35712
1335,557,23904
10201,27611,30816
87,235,24192
385,359,24480
166,302,24480
3573,3825,26784
3289,5055,27360
2890,4822,27648
87,243,23904
7404,6950,27936
820,1885,26208
199,452,24480
15483,23037,32256
373,423,24480
7916,14745,29952
481,474,24192
759,1100,25344
1634,2071,25920
2721,1106,25056
12445,19124,30816
7857,12832,30240
620,431,24480
4816,8801,28800
12767,25710,31968
422,866,25344
4069,10346,29376
548,724,25344
2100,2030,26496
2939,8453,27936
2417,1893,26208
1199,723,24768
5875,9021,27936
768,1659,25344
3605,4927,27360
7310,19577,29376
3360,4902,27072
19186,28912,33120
847,590,24768
3927,5720,27072
5140,10903,28512
6516,11059,28224
16411,32731,33984
542,472,24480
1085,1420,25632
7504,7210,27648
1106,2748,27072
1033,806,24480
149,335,23904
892,1103,25632
2090,2255,26496
3343,9050,28800
838,1846,25920
925,431,24480
2279,3417,26496
3000,3454,26784
894,1263,25632
5078,13471,29088
523,386,24768
1750,3143,25632
716,727,25632
87,237,23904
1918,1571,26208
171,308,24480
622,377,24480
3006,3167,26784
2363,2218,26208
2012,2541,25920
1960,3680,26496
1443,803,23904
953,2361,25920
193,279,24480
3272,2562,26496
1550,2024,26208
10204,23298,31968
495,726,24192
1026,650,25056
8401,17390,29664
1507,1551,25632
5074,7402,28512
1053,2397,26208
1963,3534,27072
3985,5746,27648
3396,5453,27648
852,1431,25056
1930,3036,26208
511,1237,25344
20387,38653,35136
592,435,24480
6706,20078,30240
1081,846,24480
723,493,24768
301,415,24480
960,1722,25920
1680,2199,25920
3433,4023,27648
471,557,24768
1778,1613,25920
2077,2069,25632
2076,4825,27360
2946,3798,27072
7724,11693,29376
2204,2265,25920
889,1025,25344
4316,5631,27648
155,316,24480
1273,1786,25344
8982,17436,29376
4725,8640,28800
618,1110,25344
403,314,24768
1317,2550,25920
5577,11039,28224
4300,6034,27936
776,1422,25344
4150,3389,27360
574,464,24192
2269,2498,26496
187,361,24768
5030,8574,28800
179,376,24480
1222,2179,25920
344,1179,25632
2776,7466,26784
159,288,24192
7027,10697,29952
6510,18114,29376
997,871,24768
525,734,25920
364,406,24192
1285,1224,25920
1114,816,24480
1921,914,24768
1422,1375,25344
790,1013,25920
1159,1338,25920
619,426,24768
584,560,24192
642,1425,25632
5340,8664,27936
7036,13074,29376
1952,1541,25920
169,280,23904
8789,13324,29088
1049,595,24768
331,528,24480
424,464,24768
13837,22106,32256
314,316,24192
2949,2587,25632
10368,15254,29952
774,437,24192
2312,1098,25920
593,1657,25920
295,638,25344
944,906,23904
11062,25882,31392
988,1770,25920
2938,1083,24768
457,648,25056
2375,5657,27936
844,887,25632
5767,8417,27936
619,564,24192
678,3408,26496
1189,2268,25920
1347,658,24192
2763,2328,25632
323,463,24480
704,1406,25632
3107,4904,27936
7333,8807,28512
2308,4738,27648
3060,4923,27648
1751,3599,26208
3331,5184,27936
10250,12942,29376
149,451,24480
449,655,24768
1791,3077,25920
892,586,24480
261,303,24192
948,1843,25920
916,1255,26208
2627,4594,27360
3896,7935,27936
661,859,25632
2765,8360,27072
4931,13203,29664
834,1003,25344
938,603,24192
891,907,25344
2326,2891,26208
1828,1063,25920
502,2858,25344
4409,8607,28800
458,559,24768
140,297,24192
4746,15482,29664
2063,1036,25632
1062,762,24768
215,677,25056
5473,7905,27648
306,382,24192
10887,22936,31968
8137,12325,29088
2321,4432,27072
87,237,23616
420,1048,25632
6453,10358,29664
3746,4918,27360
1252,708,24480
427,385,24480
8143,13680,28800
1114,540,24480
480,410,23904
2171,4449,27360
1504,1492,25344
367,341,23904
261,333,24192
1449,1016,25056
4875,6979,27936
2227,2070,26208
1201,1012,25344
3089,6846,28224
261,1391,25920
4749,12356,28800
1001,2020,26496
2323,3714,26496
2105,2862,26496
524,423,24480
1179,698,24480
951,959,25344
1584,1410,25920
1218,2753,26208
7940,10310,28512
2661,5676,27072
2192,1144,25056
205,416,24192
801,501,24480
648,475,24192
569,472,23904
6992,10609,29088
1679,2352,26496
672,1158,25632
3671,2241,25920
4438,5836,27360
4113,4260,26208
1147,670,24768
656,431,24192
1499,1849,25632
335,310,24480
8227,19504,31104
1558,1348,25920
736,1220,25632
1950,785,24768
613,384,24192
6931,14295,29376
4375,7851,28512
3003,4888,27648
3371,3400,26784
666,556,24480
2275,4167,27072
391,365,23904
578,1539,25344
3873,4143,26784
7443,10111,28800
4712,3859,27072
7686,16730,30528
8870,16165,29664
768,429,24192
2109,2485,25632
7011,14234,28800
3033,4456,27360
1246,1023,25920
433,1588,25632
17918,25237,32544
199,294,24480
2389,1821,25632
495,946,24480
477,345,24192
1410,1957,25632
1519,840,25056
776,1530,25632
1525,2545,26208
2988,5964,26784
5503,8011,28224
7459,11023,29376
2584,2506,26496
255,295,23904
11908,22720,32256
361,1235,25344
252,792,24192
1001,1398,25632
1133,1325,25632
1670,2974,25344
6073,8383,28224
25139,47572,38304
2757,2797,26496
10041,16484,30816
611,421,24768
4108,15849,27648
227,317,24768
556,392,24480
183,300,24192
691,1284,25632
5109,7352,27648
1260,1751,25920
404,408,24768
152,326,24192
306,321,24192
7546,11362,29376
7626,8242,28512
215,330,23904
1607,2026,25920
2076,4828,27936
9776,25656,31680
2114,2889,25632
136,299,24192
2885,3805,26784
5331,5397,27648
239,335,24480
677,564,24192
1026,657,24480
9000,17718,29376
11478,18376,30240
386,530,25056
1030,1864,25920
521,447,23904
938,1805,25920
1188,1915,26208
3121,3818,27072
1432,1143,25344
2095,2326,26496
360,340,23904
744,493,24480
1657,3247,27360
327,561,23904
1126,872,25344
87,247,23904
2939,3332,26208
531,481,24480
811,1144,25920
5143,15996,28800
1076,530,25056
2918,4118,27360
6519,12780,29376
1427,1415,26208
182,329,24192
6009,11658,29664
1505,841,24480
10937,20270,30816
840,957,25920
734,554,24768
485,937,25920
661,1041,25344
626,428,24480
691,440,23904
2641,6170,27648
4079,8613,29088
1349,754,25056
1286,2378,25920
777,1882,24768
269,294,24480
721,1143,25920
2237,1520,25344
1945,1304,25344
2966,4219,26784
3312,6184,28224
2859,4706,27360
1323,621,25056
545,943,25056
7318,14490,29664
6163,8767,29088
1360,1867,26208
2690,3357,26784
310,388,24480
491,395,24480
11042,16862,30816
944,946,25920
804,1014,25632
1040,1096,25632
2339,3319,25920
87,235,23616
836,685,25056
4025,10787,27648
2437,3334,26496
1064,1320,25056
3580,6930,28224
2350,2726,26208
349,350,24480
7007,11531,29376
219,1032,24768
87,248,24192
1539,1204,25920
4467,7169,28224
1739,3514,26208
1979,2461,26208
1176,2114,26496
629,411,24480
414,1139,25056
6513,10683,28800
13754,14450,29664
11776,25995,32832
590,387,24480
282,1117,25632
366,381,23904
1175,1155,25344
2222,2212,26208
1352,4966,25920
2373,3943,26784
171,409,23904
1524,2450,26208
210,776,25344
2272,4421,27360
87,247,23904
1437,1106,25632
3421,12062,27936
2398,2480,26496
142,269,24192
1848,2014,25632
376,685,25344
11355,23929,30816
816,524,24480
2554,2493,26496
915,605,24480
305,371,24480
271,372,24192
391,397,24480
451,503,24480
1298,1256,25632
4964,11341,29088
225,294,24480
698,568,24768
5591,7744,27936
679,415,24480
7030,13386,30240
408,611,25632
854,749,24768
14748,19157,30816
2259,3847,26784
2420,2617,26208
341,374,24480
289,380,23616
2113,2578,26208
3379,4531,27072
2226,3106,26784
6345,4429,27072
731,898,25632
6204,14015,28800
449,1980,25920
582,1067,25920
8391,17784,30240
1219,819,24768
2460,1991,26208
389,1356,25632
1787,4882,26784
408,493,24768
351,381,24480
591,534,24480
1066,936,25056
1505,1619,26208
1171,694,24768
10649,15722,30816
2824,3190,25920
1023,538,24480
3283,2278,25056
963,767,25344
171,873,24480
981,447,24480
1028,2853,25632
2845,3887,26784
7881,15492,29376
562,495,23904
437,350,24480
5631,7972,28800
514,433,24480
4778,8688,28800
87,249,23904
595,843,23904
1760,1395,26208
1883,2743,26496
951,587,24480
765,412,24192
2780,4586,27648
5784,10011,29088
407,332,24480
10951,16477,29952
87,239,23904
955,476,23904
967,1699,25632
2197,1785,25632
1615,2181,25920
403,378,24768
558,631,24480
1670,2398,25344
209,316,24480
6081,13917,29664
445,368,24480
1017,1022,25056
885,481,24480
4525,6884,27936
179,412,24480
1184,1586,25920
1371,2362,26208
465,670,25632
5306,14653,29664
1426,1428,25632
195,292,24768
403,1148,25632
484,1372,25344
492,441,24192
439,1033,25920
8271,11613,29664
4078,3387,26784
263,319,24768
87,291,23616
3187,3455,26784
780,1516,25920
953,1762,24768
1037,575,24480
2301,3271,26496
1692,2326,26496
1794,2547,25920
8539,15294,30816
1354,587,24768
1496,590,24768
729,1001,25632
6856,9420,29088
5393,18542,30816
1071,1798,25632
591,840,25632
6220,12434,29376
635,1767,25344
1745,997,24768
217,303,24192
4871,6563,27648
674,1014,25632
1269,1424,26208
2333,1669,26208
320,342,24480
6687,11689,28224
1110,833,24192
4276,10766,27648
283,612,25344
2354,4100,25632
1298,2105,26208
773,1489,25632
1180,905,25920
1768,3257,26784
539,553,24768
1557,914,25056
959,936,25632
3403,9790,27936
700,1392,25920
175,297,23616
2361,6077,26784
1238,1011,25632
916,630,24768
6273,9619,29088
533,1682,25344
2873,5893,27936
1929,3479,26496
297,332,24480
839,2357,25056
324,380,23904
6982,10592,29088
1432,871,25344
87,294,24480
865,608,24768
2375,3548,26784
229,355,24480
380,683,25632
750,545,24480
5481,6421,28224
1780,2110,26784
414,775,25632
4734,11204,28224
389,383,24480
1339,763,24480
167,331,23904
4645,11642,29088
1187,955,24192
138,329,24480
739,849,25632
1937,2226,26208
7555,11769,29376
4823,7491,28224
9530,16398,30816
2897,4745,27360
791,496,24192
87,253,23904
5320,10879,28800
245,333,24768
1702,1606,25920
2796,5367,27360
1454,1800,25920
244,598,24768
394,372,24768
2599,3720,27360
2916,4925,27648
355,304,24192
8197,14380,29952
1061,1417,25920
664,421,24192
570,405,24480
900,1089,25920
518,823,25056
922,631,25344
345,867,25632
4089,2968,26496
229,335,24768
323,902,25920
2902,3885,27072
1369,2074,25632
5153,8875,29088
771,1451,25344
12370,19241,31104
9804,17030,30528
543,512,24768
964,1785,25920
2417,2084,25632
12341,17843,30240
4744,10541,29376
1224,3580,25920
1363,1431,26208
4586,6423,28512
8237,12787,29376
11253,21438,31968
2102,3194,26784
3421,7585,27936
1042,1081,26208
961,638,24768
3838,4844,27072
713,817,25920
1753,2381,25920
1542,1268,25344
430,989,25056
478,403,24480
348,846,25344
623,637,25344
3617,6892,28224
6544,16339,28512
430,384,24480
255,357,24192
5457,13902,29952
357,373,23904
921,959,25632
737,436,23904
1721,3768,27072
153,295,24480
3837,3023,26496
293,439,24192
978,1726,25920
550,1725,25632
4716,9565,29088
831,1705,25632
2024,4466,27360
8254,9451,28512
87,237,24480
1769,850,25344
6282,9712,29088
318,373,24192
5970,13500,29664
1035,2289,26208
87,248,23904
155,388,24192
2298,2389,26496
1099,2700,27360
872,1119,25344
1263,605,24192
1878,1396,25344
1230,1167,25920
316,555,25056
87,249,24192
338,329,24480
1288,807,25056
1240,755,24480
3549,6021,26496
1356,761,24768
1525,1134,24768
685,968,25056
2353,1937,26208
1164,1164,25344
5073,7497,27936
1000,2047,25632
960,720,25632
7291,15613,28800
553,459,24480
5036,6132,27936
8110,10414,28224
360,506,24768
1050,876,24480
773,536,24480
822,1405,25920
1202,1645,26496
497,1491,25056
904,509,24480
1581,850,25344
449,585,24768
140,289,23904
1466,1944,25632
3185,1834,25920
1112,1235,25344
8134,10940,29376
1759,2646,25920
1982,1703,25920
163,335,24192
1361,642,24192
7785,19009,30528
4437,8428,28512
1475,4205,27360
2047,1790,25632
706,1731,25632
21623,39213,36576
2304,1367,24768
2523,3240,25056
757,613,24768
1871,2598,26208
1082,1897,25632
4479,7816,27936
332,453,24480
539,439,24480
314,301,24480
807,1037,25344
2471,6124,27936
373,831,25632
1318,1211,25632
457,364,24768
3516,6171,27072
985,1745,25344
10742,18584,30528
362,1206,24480
6539,13045,29952
1839,2370,26784
4854,7293,28512
514,920,25920
4555,5980,27936
1806,4185,26208
7810,12274,29376
963,1830,25920
2996,4765,27936
2821,3635,27360
995,977,25920
4933,5818,27936
277,331,23904
710,1286,25056
593,497,24768
1367,1112,26208
3485,4365,27072
7065,11660,29664
5952,6200,27936
1340,2190,26208
1052,2455,24768
4775,5355,27936
703,412,24480
661,2607,25920
18999,21161,31680
3555,7332,28224
1684,2384,26208
307,839,25056
2133,2358,26496
1092,720,24768
1374,2373,25920
852,1378,25920
1089,1109,26208
87,233,24192
955,528,23904
520,743,25344
536,521,24480
764,1077,25344
4950,9843,26784
7218,18583,29664
5152,8064,28224
410,577,23904
879,1502,25632
1234,905,24480
832,612,24480
916,1895,25632
1985,3377,26496
633,426,24480
338,2153,25632
8831,14673,29952
1753,4814,27360
2503,3783,27072
955,793,24192
6344,13896,29376
2469,4668,27360
15323,21054,30528
4268,4142,27360
4562,6453,27072
394,609,24480
4040,8250,28800
3056,6219,28224
3332,5997,26784
6414,11620,29376
1695,3001,25344
832,525,24192
1080,1490,25920
87,273,24192
437,349,24480
2039,3891,25632
297,429,24768
7084,9882,28800
2812,1669,26208
179,281,24480
1670,4893,25632
372,779,25632
2097,3850,27360
7623,9553,29376
3035,3319,26208
3435,3975,26784
728,676,25056
5650,9117,28224
1460,2236,26208
2351,4084,27360
1225,1496,25056
1021,1329,25344
333,362,24480
214,402,24192
947,847,25920
4148,8847,28224
1310,642,24768
200,308,24480
4743,10773,27936
400,892,25344
141,349,24480
297,341,24192
811,540,24768
487,2480,25344
4791,13438,29376
11058,12754,29952
521,452,24192
5577,17742,29376
195,293,24192
2340,3867,26784
414,539,24192
4277,5506,27648
2037,1530,25632
2229,4273,26784
2301,4439,26784
782,646,25056
569,533,24768
758,513,24480
138,431,24192
14349,17885,31104
413,975,25632
794,1542,25920
7938,11330,29664
1342,674,24480
789,1783,26208
661,513,24192
1376,866,24480
641,411,24480
463,1199,25920
194,368,24480
414,385,24192
9271,14885,30528
932,1636,25920
1021,575,24768
1279,1831,25632
3216,7409,27936
944,1135,25920
147,430,24480
147,266,24480
5982,6520,28224
4411,4285,27072
2348,6683,28224
1066,1710,25920
10415,20852,30528
10461,10300,28800
3635,6638,28224
191,289,24192
2451,2579,26496
1396,7545,27360
721,1182,25056
480,530,24192
4955,8593,28224
6216,8413,28800
6539,10500,28800
2998,2765,27072
875,1736,26208
857,1081,25920
1078,1468,25920
7281,11225,29664
4751,7689,27648
195,359,24192
279,310,24192
1180,1029,24480
839,1637,25920
87,263,23904
571,465,24192
1888,5251,26496
5358,12189,29376
24893,32935,34560
3107,3085,26784
32706,53994,38592
321,379,24192
167,405,23904
1879,1105,25632
2934,6203,27360
661,983,25920
658,683,24192
1680,1657,25920
1090,1631,25344
1603,1722,25920
946,911,25632
735,414,24480
9383,13191,30240
696,418,24480
1836,2626,26496
4643,11237,28512
854,1718,25344
5543,12866,28800
4897,8101,28224
858,481,24768
1237,2844,26208
930,571,24480
745,1136,25920
20974,27027,33984
3035,1732,25920
12995,21286,30816
496,363,24768
10674,11263,29088
806,879,25920
882,633,24480
