Code Size (B),Execution Time (µs),Memory Usage (KB)
4198,6874,27936
1599,1908,26208
1967,766,24768
910,1638,25920
2298,1821,26496
247,306,24480
3744,5069,27936
1105,660,24480
1028,3678,25344
87,229,24192
290,376,24192
763,428,23904
1103,1690,25344
2033,4870,26496
1166,624,24768
1154,658,25344
3313,4766,27072
6058,10858,28512
5636,6347,27360
771,1448,25920
1692,2344,25632
346,599,24768
142,400,24192
5280,6722,28224
7011,10831,29088
7272,11919,29376
905,479,24480
1176,1090,25344
7598,15664,29952
207,300,24192
87,236,24480
6729,13348,30528
944,1180,25632
1911,1978,26208
13242,19876,31392
389,407,24480
458,904,25344
511,351,24480
6539,13215,28800
1153,500,24480
321,341,24192
767,449,24480
12925,15312,29952
8413,13366,30240
1931,1543,25344
777,1951,25056
6536,13931,29664
3253,6026,27360
325,1003,24768
657,526,24480
6737,13808,30528
10135,13732,30240
747,1173,25344
4532,6560,27648
20581,29546,33984
1182,1003,25632
9857,16164,29952
219,334,24768
279,887,25920
9843,22079,30816
1383,2661,26208
253,364,24480
524,1841,25632
3890,7106,28512
6746,11147,29088
11307,23609,31968
608,816,25920
12336,21505,31104
2292,3967,26784
2246,2164,26208
12141,20054,31392
1766,5891,27072
1115,1282,25344
261,350,24480
6363,8266,28224
630,1052,25344
615,1535,25920
302,392,24480
797,1626,24768
14658,23331,33408
2128,3999,26784
1918,2513,26496
8988,11604,29376
1402,948,25632
3699,5579,27360
14337,22743,31392
379,540,24192
255,390,24480
1285,1438,25920
3726,6685,27936
1324,1252,25632
241,630,24480
545,1591,24480
7001,11059,29088
3087,4366,27072
881,1509,25920
1792,873,25344
955,1120,25632
226,322,24768
2547,4635,27648
11322,12201,29952
404,325,23904
1144,1615,25920
2168,4694,27072
1801,819,25056
1026,504,24768
2062,2324,25920
645,502,24480
14530,21386,31968
87,332,24192
963,1915,26208
1496,1729,25920
12086,18017,31104
472,375,24192
1070,2516,26784
1748,2354,25632
1565,910,24480
2380,5462,27648
1062,552,24480
599,2134,26208
994,1116,25632
348,333,24192
474,531,24480
87,309,24192
644,2400,25632
2746,3842,26496
1784,1732,26496
11345,21845,31392
872,1497,24768
410,905,25344
1172,665,24480
5749,7484,28512
13809,26086,33408
2586,6115,28224
385,384,24192
87,281,23904
212,363,24480
922,506,24480
2348,5250,27360
1370,1265,25056
1173,1891,26208
705,440,24768
498,716,24192
745,1983,26208
718,756,24192
604,1040,25632
13405,23849,32544
753,457,24768
1630,3625,26208
2414,4682,27072
4356,9852,29376
13595,16104,30528
1512,1880,26208
197,283,24480
5962,11402,29088
5082,7598,28224
1432,3333,25344
679,700,25632
1510,704,24768
2133,5810,27072
2400,5990,26784
513,452,24480
3167,1998,25920
1475,2373,26208
311,331,24480
10764,16763,31392
499,2260,26208
2195,2603,26496
7066,10201,28800
1347,1267,25920
724,867,25920
7632,13654,30240
1506,1584,25920
274,325,24480
4147,6621,27936
7743,8228,28224
263,321,24192
2117,1910,26208
5401,7984,28512
2667,2759,26208
1846,3272,25056
3777,5150,26496
1443,2612,26208
399,488,24192
1632,2982,26496
843,827,25344
4081,6003,27936
814,766,25344
152,350,23904
1189,1794,26208
2962,10156,27648
12523,22059,31680
1546,2193,25920
1838,1775,26208
1718,2376,25920
356,622,24768
211,292,24192
87,265,24192
2560,2841,26784
1964,962,24480
757,513,24480
161,331,24192
171,282,24192
380,543,24768
3116,4801,26784
2011,2081,25920
2791,2456,26208
210,824,24480
6719,10715,29376
2772,3777,27360
12806,19283,31392
1859,3069,25920
510,431,24480
865,914,25632
3740,10242,27936
12145,23964,32256
364,378,24480
3374,5732,28512
1025,1341,25344
2063,2905,27360
1325,1938,26208
6154,15779,30240
6593,6980,27648
607,839,25056
7373,5465,27360
247,346,24192
569,381,24192
801,2124,25920
4704,10668,29088
1167,1275,25632
4406,5882,27648
339,359,23904
437,558,24192
783,1079,24768
1773,3254,26208
1399,1185,26208
6962,11937,29952
6294,8945,28512
578,367,24480
425,455,24768
400,2504,25344
237,631,25344
2839,6430,27360
1434,853,24480
655,447,24192
1787,2020,26208
345,339,24480
87,247,23616
2182,5037,25920
1059,1503,25920
794,3246,25344
1083,1776,26496
3103,6041,26208
1537,1820,25344
632,507,24192
334,1012,25632
2979,4742,26784
1282,2484,26208
238,436,23904
6591,12408,29664
332,363,23904
1372,1433,25632
760,506,23616
234,301,24192
5469,11882,28512
1161,1424,25344
9472,23257,31104
874,1469,25344
20987,39651,34848
3840,6410,28224
451,811,25920
651,495,24480
1479,969,25920
4613,9033,28800
3484,7837,28512
8740,14688,30240
557,362,24768
156,421,23904
6024,8747,28800
8113,13210,28800
4681,5657,27648
1672,1809,25920
87,226,24192
362,615,24192
1770,1610,25632
257,413,23904
648,616,24480
847,1934,25920
6956,12413,29952
1610,1084,25632
824,1918,25632
300,528,24480
529,671,25632
1006,1935,25632
2728,3334,27072
257,905,25632
1808,4833,27072
1673,1066,26208
1482,692,25056
428,478,23904
5065,9897,28800
1056,1968,25920
7604,16774,29088
994,469,24480
520,1976,25344
87,270,23616
1675,757,24480
307,359,24480
905,477,24480
453,1044,25344
268,431,24480
854,1191,25632
1190,2334,25920
412,508,24192
1766,4457,27072
645,414,24768
6055,12883,27360
695,1540,25344
927,1626,25920
1810,1817,25344
3553,2391,26208
1329,1108,25632
962,554,24768
1179,1151,25632
1887,2543,25344
1499,1440,25632
1603,4288,26784
4975,11547,29088
1232,744,24480
1220,1665,25920
6511,9918,28512
1233,1661,26208
1840,2139,25920
556,798,25632
5472,7520,28512
354,375,24480
1052,679,24480
505,1120,25344
22786,42556,36288
2645,4698,27360
560,936,25920
580,586,24768
3738,8616,27936
1082,1968,25920
2490,2573,26208
406,1350,25344
6166,8306,28512
734,514,24480
9488,15483,29952
8283,11125,28224
1046,1863,25920
945,1713,25920
872,1699,25344
87,269,24192
2031,5430,27072
1239,1867,25920
5241,10733,29088
529,474,24480
1747,1225,25920
332,337,24480
4495,11514,28512
1994,1787,26496
16404,27667,32256
397,398,23904
2366,4213,26784
972,2778,25920
3601,6729,27936
2004,1253,26496
460,598,24768
1888,2054,25920
1214,617,24768
212,353,24192
866,897,25632
674,2390,25344
4466,7752,28512
3444,8073,28800
12693,13496,29376
291,317,24480
8282,14883,30240
2496,6177,27936
1207,1054,25344
2039,3074,24480
792,1209,24768
87,257,24192
285,320,24192
770,1340,25344
200,368,24768
9020,18374,30240
6231,8748,28800
13872,25091,31680
5072,10357,29376
1192,1682,25920
1587,762,25056
12007,12737,29664
1154,1742,25632
7904,20793,30240
1118,1876,25920
2450,2804,26496
521,379,24480
1989,2664,25632
5443,7714,28512
783,401,24480
735,3804,25632
4885,7953,28224
2068,1268,25920
669,897,24480
412,1742,25056
4637,12238,29376
849,460,24768
4255,6914,28224
1143,3061,26208
3070,3150,26496
8103,13925,30528
1188,616,25056
2571,3899,27072
1971,739,24480
5470,8086,28224
1724,2235,25344
252,363,23904
1109,1448,25920
834,826,25344
5811,11147,28800
1980,2135,26208
2063,3432,27360
2528,7174,27936
1621,2585,26208
468,475,24768
488,409,24192
7848,15520,30528
1172,600,24480
2648,2649,26208
1311,1548,25344
2000,1196,24768
10229,17304,30816
350,765,25632
329,326,24768
1177,584,24768
234,375,24480
889,1162,25344
4524,7291,28224
2256,1724,26208
5088,3905,27072
19148,29247,34272
453,399,24192
2303,1889,26496
433,1016,25344
5521,7425,28224
2595,3010,26496
655,511,24192
1586,2291,26496
373,348,23904
8126,13217,27648
515,678,25344
147,287,24192
4979,6796,27936
87,228,24480
717,490,24480
308,1436,25632
2219,1622,25920
659,405,24768
5929,9314,27648
5159,7503,27936
1338,613,24192
650,499,24192
2389,980,25344
1089,2289,26208
2197,4821,27648
1684,2952,26496
2057,2035,26208
810,857,24768
1216,1015,25632
4486,7285,27936
6940,8050,28224
1449,1265,25344
326,363,24480
3412,5201,27072
1400,1863,25920
3975,4638,27072
963,424,24768
1713,1249,25632
216,354,24480
1784,971,25632
1316,1794,25344
3494,4360,27072
11327,15030,30528
2799,2697,26208
985,695,24480
3535,5921,28224
3017,1428,26208
912,3223,25920
1422,1849,25920
87,330,23616
3167,1702,25920
2769,4247,27072
257,300,24192
351,322,23904
5021,12066,29088
9396,12018,29088
855,401,24480
568,440,24480
813,595,24480
1640,1906,25920
3547,3735,26784
13150,23286,32832
957,586,24768
1044,520,25056
546,434,24480
249,329,24192
2490,6837,27360
3289,2631,25920
8397,13627,30528
11452,17395,31104
267,314,24480
245,293,24480
3590,9744,28800
964,559,24768
12109,16412,30816
87,296,23904
87,259,24480
2819,3502,26208
8159,12415,29664
5235,7390,27360
203,310,24480
191,347,24192
1757,1958,25920
4774,7777,27936
3467,4388,27072
1487,1425,25632
1651,852,24768
486,1080,25344
6684,9186,28512
874,2390,25632
7507,13880,29952
1779,2003,26496
897,1735,24768
872,548,24192
4919,8049,28512
2596,1468,26208
1244,1863,25632
15478,22163,31968
257,337,24768
688,860,25344
277,772,25344
2366,3779,27360
2926,1098,25056
524,370,23904
2574,3386,26784
2573,2287,26496
794,825,24192
8550,23548,32832
1011,564,24480
1054,1061,25632
148,284,24192
2824,8487,27072
497,357,24480
395,351,24192
694,1489,25920
163,292,24192
1715,1775,24480
2029,1831,26208
974,631,24192
505,479,24480
11785,16170,29376
618,616,23904
770,500,24480
642,567,24768
2442,3496,26784
929,874,25344
148,343,23904
609,651,24768
2421,4998,27648
87,239,23904
4699,6256,26784
1254,2387,25632
3705,5546,27648
370,560,24768
1660,1225,25920
87,578,23904
2084,6330,27936
3049,4958,26784
211,284,23904
1497,1872,25632
9147,12879,29664
871,806,25056
247,378,24480
171,303,24192
7865,10319,29088
683,1127,25920
287,346,23904
2737,3815,26784
487,428,24480
869,476,24768
1314,2002,25920
1510,2046,25920
8071,12267,29088
1037,1772,25920
8580,15964,29952
657,726,24768
2382,2037,25920
1648,4765,25920
1552,1516,25632
1471,1613,25632
390,412,24480
10050,16374,30816
384,429,24768
1635,2077,26496
505,499,24480
8066,16043,29952
2224,2403,26208
1525,692,25056
382,369,24768
4716,7170,28224
1709,2041,26208
990,1061,25632
4832,9736,28224
1091,845,25920
142,294,24480
1960,1953,26208
660,864,25632
1424,793,24192
943,1220,25632
1211,3023,25920
21821,31193,33408
3004,6803,28224
5670,16545,29376
12353,16787,30816
521,566,24480
720,1370,25344
3977,7777,27936
350,391,24192
991,1165,25632
337,1172,25632
489,391,24480
1772,3169,26784
736,1893,25920
518,737,25632
207,982,26208
1367,1110,25344
2068,1053,25056
4062,7502,28512
2590,8397,27360
